Worker 1 | start step | instantiate | 1719877818.8035495
Worker 1 | finish step | instantiate | 1719877818.8292816
Worker 1 | start idle | idle | 1719877818.8305676
Worker 1 | finish idle | idle | 1719877818.8320324
Worker 1 | start step | _sub_do_work | 1719877818.832045
Worker 1 | finish step | _sub_do_work | 1719877818.847485
Worker 1 | start step | instantiate | 1719877818.8477225
Worker 1 | finish step | instantiate | 1719877818.8944628
Worker 1 | start step | instantiate | 1719877818.8962808
Worker 1 | finish step | instantiate | 1719877818.93731
Worker 1 | start step | instantiate | 1719877818.9381711
Worker 1 | finish step | instantiate | 1719877818.974485
Worker 1 | start step | _sub_do_work | 1719877818.974912
Worker 1 | finish step | _sub_do_work | 1719877818.9915175
Worker 1 | start step | instantiate | 1719877818.9916294
Worker 1 | finish step | instantiate | 1719877819.0196347
Worker 1 | start step | instantiate | 1719877819.0203466
Worker 1 | finish step | instantiate | 1719877819.034064
Worker 1 | start idle | idle | 1719877819.0343697
Worker 1 | finish idle | idle | 1719877819.0537274
Worker 1 | start step | instantiate | 1719877819.0537448
Worker 1 | finish step | instantiate | 1719877819.064518
Worker 1 | start idle | idle | 1719877819.0661693
Worker 1 | finish idle | idle | 1719877819.0722947
Worker 1 | start step | instantiate | 1719877819.0723338
Worker 1 | finish step | instantiate | 1719877819.0925055
Worker 1 | start idle | idle | 1719877819.0937216
Worker 1 | finish idle | idle | 1719877819.1766539
Worker 1 | start step | _sub_do_work | 1719877819.176681
Worker 1 | finish step | _sub_do_work | 1719877819.1972532
Worker 1 | start idle | idle | 1719877819.1973825
Worker 1 | finish idle | idle | 1719877819.201404
Worker 1 | start step | instantiate | 1719877819.2014117
Worker 1 | finish step | instantiate | 1719877819.2900953
Worker 1 | start idle | idle | 1719877819.2906215
Worker 1 | finish idle | idle | 1719877819.2928934
Worker 1 | start step | _sub_do_work | 1719877819.2928984
Worker 1 | finish step | _sub_do_work | 1719877819.3064609
Worker 1 | start step | instantiate | 1719877819.3065047
Worker 1 | finish step | instantiate | 1719877819.314933
Worker 1 | start idle | idle | 1719877819.3152506
Worker 1 | finish idle | idle | 1719877819.3882647
Worker 1 | start step | _sub_do_work | 1719877819.388281
Worker 1 | finish step | _sub_do_work | 1719877819.4040732
Worker 1 | start idle | idle | 1719877819.4041364
Worker 1 | finish idle | idle | 1719877819.4524028
Worker 1 | start step | instantiate | 1719877819.4524148
Worker 1 | finish step | instantiate | 1719877819.500775
Worker 1 | start step | _sub_do_work | 1719877819.501748
Worker 1 | finish step | _sub_do_work | 1719877819.503945
Worker 1 | start idle | idle | 1719877819.5044699
Worker 1 | finish idle | idle | 1719877819.5644546
Worker 1 | start step | instantiate | 1719877819.5644712
Worker 1 | finish step | instantiate | 1719877819.6252563
Worker 1 | start idle | idle | 1719877819.6262503
Worker 1 | finish idle | idle | 1719877819.7671468
Worker 1 | start step | instantiate | 1719877819.7671556
Worker 1 | finish step | instantiate | 1719877819.7838576
Worker 1 | start idle | idle | 1719877819.785112
Worker 1 | finish idle | idle | 1719877819.9079545
Worker 1 | start step | instantiate | 1719877819.907966
Worker 1 | finish step | instantiate | 1719877819.9624238
Worker 1 | start idle | idle | 1719877819.964935
Worker 1 | finish idle | idle | 1719877820.100287
Worker 1 | start step | instantiate | 1719877820.1003053
Worker 1 | finish step | instantiate | 1719877820.1618066
Worker 1 | start idle | idle | 1719877820.1637301
Worker 1 | finish idle | idle | 1719877820.3797307
Worker 1 | start step | instantiate | 1719877820.3797755
Worker 1 | finish step | instantiate | 1719877820.39688
Worker 1 | start idle | idle | 1719877820.3985634
Worker 1 | finish idle | idle | 1719877820.541024
Worker 1 | start step | instantiate | 1719877820.5410497
Worker 1 | finish step | instantiate | 1719877820.6210587
Worker 1 | start idle | idle | 1719877820.6226587
Worker 1 | finish idle | idle | 1719877820.7724466
Worker 1 | start step | instantiate | 1719877820.772491
Worker 1 | finish step | instantiate | 1719877820.7834966
Worker 1 | start idle | idle | 1719877820.7843168
Worker 1 | finish idle | idle | 1719877820.789887
Worker 1 | start step | instantiate | 1719877820.7898924
Worker 1 | finish step | instantiate | 1719877820.8168528
Worker 1 | start idle | idle | 1719877820.8173845
Worker 1 | finish idle | idle | 1719877820.8351808
Worker 1 | start step | instantiate | 1719877820.8352032
Worker 1 | finish step | instantiate | 1719877820.8543088
Worker 1 | start idle | idle | 1719877820.856169
Worker 1 | finish idle | idle | 1719877821.0109177
Worker 1 | start step | instantiate | 1719877821.010923
Worker 1 | finish step | instantiate | 1719877821.0299935
Worker 1 | start idle | idle | 1719877821.0307014
Worker 2 | start idle | idle | 1719877814.0745568
Worker 2 | finish idle | idle | 1719877817.3138251
Worker 2 | start step | _sub_do_work | 1719877817.3138402
Worker 2 | finish step | _sub_do_work | 1719877817.32782
Worker 2 | start step | _sub_do_work | 1719877817.3278966
Worker 2 | finish step | _sub_do_work | 1719877817.3385255
Worker 2 | start idle | idle | 1719877817.3386178
Worker 2 | finish idle | idle | 1719877817.3430536
Worker 2 | start step | instantiate | 1719877817.3430595
Worker 2 | finish step | instantiate | 1719877817.3512976
Worker 2 | start idle | idle | 1719877817.35165
Worker 2 | finish idle | idle | 1719877817.4297268
Worker 2 | start step | instantiate | 1719877817.4297435
Worker 2 | finish step | instantiate | 1719877817.445233
Worker 2 | start step | instantiate | 1719877817.4457355
Worker 2 | finish step | instantiate | 1719877817.4542618
Worker 2 | start step | _sub_do_work | 1719877817.4546936
Worker 2 | finish step | _sub_do_work | 1719877817.4638495
Worker 2 | start step | instantiate | 1719877817.4638853
Worker 2 | finish step | instantiate | 1719877817.4910371
Worker 2 | start step | instantiate | 1719877817.4915566
Worker 2 | finish step | instantiate | 1719877817.4947188
Worker 2 | start idle | idle | 1719877817.4949644
Worker 2 | finish idle | idle | 1719877817.4981518
Worker 2 | start step | instantiate | 1719877817.4981546
Worker 2 | finish step | instantiate | 1719877817.5076091
Worker 2 | start idle | idle | 1719877817.5078945
